mk-kvant.net.novem.sk
usw-kvant-serverovna03.net.novem.sk
usw-kvant-serverovna04.net.novem.sk
usw-kvant-serverovna01.net.novem.sk
usw-kvant-serverovna02.net.novem.sk
uap-kvant-2np-2.10.net.novem.sk
uap-kvant-2np-2.04.net.novem.sk
uap-kvant-1np-1.12.net.novem.sk
uap-kvant-2np-2.11.net.novem.sk
uap-kvant-2np-chodba1.net.novem.sk
uap-kvant-1np-1.10.net.novem.sk
uap-kvant-2np-chodba2.net.novem.sk
uap-kvant-1np-chodba.net.novem.sk
uap-kvant-2np-2.12.net.novem.sk
uap-kvant-2np-2.05.net.novem.sk
uap-kvant-2np-2.06.net.novem.sk
uap-kvant-2np-2.13.net.novem.sk
uap-kvant-2np-2.07.net.novem.sk
uap-kvant-1np-1.04.net.novem.sk
nvr-kvant.net.novem.sk
